branch,horizon,p_up_long,p_up_short,trades,mean_ret_per_bar,total_return_proxy,win_rate
hourly,1,0.52,0.48,1270,-0.00017999565793284944,-1.419085767142585,0.0752156265854896
hourly,1,0.55,0.45,10,-6.33761481148502e-06,-0.0499657551737479,0.000380517503805175
hourly,1,0.58,0.42,0,0.0,0.0,0.0
hourly,2,0.52,0.48,0,0.0,0.0,0.0
hourly,2,0.55,0.45,0,0.0,0.0,0.0
hourly,2,0.58,0.42,0,0.0,0.0,0.0
hourly,4,0.52,0.48,131,6.0740118560495764e-06,0.047887509473094864,0.008625063419583967
hourly,4,0.55,0.45,0,0.0,0.0,0.0
hourly,4,0.58,0.42,0,0.0,0.0,0.0
daily,1,0.52,0.48,298,0.0001376482966140093,0.045286289586009054,0.45896656534954405
daily,1,0.55,0.45,5,-2.88789563181693e-05,-0.0095011766286777,0.0060790273556231
daily,1,0.58,0.42,0,0.0,0.0,0.0
daily,3,0.52,0.48,276,-5.6002899014161106e-05,-0.018424953775659003,0.4072948328267477
daily,3,0.55,0.45,27,8.891204571439534e-06,0.0029252063040036066,0.0425531914893617
daily,3,0.58,0.42,0,0.0,0.0,0.0
daily,7,0.52,0.48,318,0.0013352880191610853,0.43930975830399704,0.45288753799392095
daily,7,0.55,0.45,297,0.0012262756907602905,0.40344470226013557,0.41641337386018235
daily,7,0.58,0.42,257,-0.0006994153618506277,-0.23010765404885652,0.3373860182370821
