market,instrument_id,name,status,recommended_action,alerts,predicted_change_pct,policy_action,policy_position_size,policy_signed_position,policy_expected_edge_pct,policy_expected_edge_abs,policy_reason,news_score_30m,news_score_120m,news_score_1440m,news_count_30m,news_burst_zscore,news_risk_level,news_event_risk,news_gate_pass,news_reason_codes,factor_support_count,hard_filter_pass
us_equity,us_equity:a,Agilent Technologies,Watch,Monitor/Reduce,predicted_change_non_positive,-0.022298247881912037,Short,0.3248796479799091,-0.3248796479799091,0.020298247881912035,2.5926952700964945,short_signal,0.0,0.0,0.0,0.0,0.0,low,False,True,nan,1,True
us_equity,us_equity:aapl,Apple Inc.,Active,Keep/Open,,0.008741781589005182,Long,0.21976903778500484,0.21976903778500484,0.006741781589005182,1.88628307078776,long_signal,,,,,,low,False,True,nan,3,True
us_equity,us_equity:abbv,AbbVie,Active,Keep/Open,,0.008452828997862483,Long,0.1866915780259388,0.1866915780259388,0.006452828997862483,1.4300759309983293,long_signal,,,,,,low,False,True,nan,2,True
us_equity,us_equity:abnb,Airbnb,Watch,Monitor/Reduce,predicted_change_non_positive,-0.026242350045373786,Short,0.27746399041209674,-0.27746399041209674,0.024242350045373784,2.8831426908963045,short_signal,,,,,,low,False,True,nan,1,True
us_equity,us_equity:abt,Abbott Laboratories,Watch,Monitor/Reduce,,0.009563644011326478,Long,0.15627514168823203,0.15627514168823203,0.0075636440113264775,0.849245940358773,long_signal,,,,,,low,False,True,nan,1,True
us_equity,us_equity:acgl,Arch Capital Group,Watch,Monitor/Reduce,predicted_change_non_positive,-0.007383151534464671,Short,0.1380918324659882,-0.1380918324659882,0.005383151534464671,0.5230270030885874,short_signal,,,,,,low,False,True,nan,3,True
us_equity,us_equity:acn,Accenture,Watch,Monitor/Reduce,predicted_change_non_positive,-0.025316738232696756,Short,0.2334448060427395,-0.2334448060427395,0.023316738232696754,5.387852241984678,short_signal,,,,,,low,False,True,nan,1,True
us_equity,us_equity:adbe,Adobe Inc.,Watch,Monitor/Reduce,predicted_change_non_positive,-0.037628072114630595,Short,0.3164025536154624,-0.3164025536154624,0.03562807211463059,9.236043274636263,short_signal,,,,,,low,False,True,nan,1,True
us_equity,us_equity:adi,Analog Devices,Active,Keep/Open,,0.02620096746984002,Long,0.36289599613703377,0.36289599613703377,0.024200967469840018,8.139269379456595,long_signal,,,,,,low,False,True,nan,3,True
us_equity,us_equity:adm,Archer Daniels Midland,Active,Keep/Open,,0.018384720918341202,Long,0.30426786530814537,0.30426786530814537,0.0163847209183412,1.1403765509154475,long_signal,,,,,,low,False,True,nan,2,True
