branch,horizon,p_up_long,p_up_short,trades,mean_ret_per_bar,total_return_proxy,win_rate
hourly,1,0.52,0.48,0,0.0,0.0,0.0
hourly,1,0.55,0.45,0,0.0,0.0,0.0
hourly,1,0.58,0.42,0,0.0,0.0,0.0
hourly,2,0.52,0.48,152,-2.211934422258463e-06,-0.01743889098508572,0.010400811770674784
hourly,2,0.55,0.45,0,0.0,0.0,0.0
hourly,2,0.58,0.42,0,0.0,0.0,0.0
hourly,4,0.52,0.48,448,-0.00024134434985866968,-1.9027588542857516,0.02511415525114155
hourly,4,0.55,0.45,0,0.0,0.0,0.0
hourly,4,0.58,0.42,0,0.0,0.0,0.0
daily,1,0.52,0.48,328,0.0007298500575798208,0.24012066894376105,0.5531914893617021
daily,1,0.55,0.45,150,-0.00030648886734360264,-0.10083483735604527,0.25227963525835867
daily,1,0.58,0.42,0,0.0,0.0,0.0
daily,3,0.52,0.48,328,0.0020911431158572497,0.6879860851170352,0.5288753799392097
daily,3,0.55,0.45,0,0.0,0.0,0.0
daily,3,0.58,0.42,0,0.0,0.0,0.0
daily,7,0.52,0.48,240,0.0025869460642436626,0.851105255136165,0.4316109422492401
daily,7,0.55,0.45,165,0.0019079470027415209,0.6277145639019603,0.3009118541033435
daily,7,0.58,0.42,92,0.001297232775973704,0.42678958329534866,0.17325227963525835
