index,branch,task,model,horizon,metric,mean,std
0,daily,direction,baseline_logistic,1,accuracy,0.54,0.09249624617007737
1,daily,direction,baseline_logistic,1,f1,0.3945238095238095,0.2856639836672202
2,daily,direction,baseline_logistic,1,precision,0.529047619047619,0.31442276953893644
3,daily,direction,baseline_logistic,1,recall,0.36205882352941177,0.3555120825379214
4,daily,direction,baseline_logistic,1,roc_auc,0.5750678733031674,0.1259723067814941
5,daily,direction,baseline_logistic,3,accuracy,0.4866666666666667,0.1016530045465127
6,daily,direction,baseline_logistic,3,f1,0.2928462460499074,0.27384102906727303
7,daily,direction,baseline_logistic,3,precision,0.5936111111111111,0.3764729303468586
8,daily,direction,baseline_logistic,3,recall,0.23118933697881067,0.24336843179945242
9,daily,direction,baseline_logistic,3,roc_auc,0.5589305840358472,0.1066147993595002
10,daily,direction,baseline_logistic,7,accuracy,0.5399999999999999,0.18915014612148143
11,daily,direction,baseline_logistic,7,f1,0.45247740563530037,0.33145955818526435
12,daily,direction,baseline_logistic,7,precision,0.8074224021592442,0.359757220691841
13,daily,direction,baseline_logistic,7,recall,0.35067068878833585,0.2824733111708493
14,daily,direction,baseline_logistic,7,roc_auc,0.7175466733702027,0.10142048624035872
15,daily,direction,baseline_prev_bar,1,accuracy,0.4533333333333333,0.18043158136965812
16,daily,direction,baseline_prev_bar,1,f1,0.49629866022655394,0.1837754966444935
17,daily,direction,baseline_prev_bar,1,precision,0.4966666666666667,0.183709899520557
18,daily,direction,baseline_prev_bar,1,recall,0.49617647058823533,0.183798086474521
19,daily,direction,baseline_prev_bar,1,roc_auc,0.43873383968972207,0.17546642645296281
20,daily,direction,baseline_prev_bar,3,accuracy,0.4866666666666667,0.08366600265340758
21,daily,direction,baseline_prev_bar,3,f1,0.553463033892269,0.05026815858702815
22,daily,direction,baseline_prev_bar,3,precision,0.5760504201680672,0.051024044782477476
23,daily,direction,baseline_prev_bar,3,recall,0.5381567555251766,0.08015074547519412
24,daily,direction,baseline_prev_bar,3,roc_auc,0.45703292321713374,0.1144610121672438
25,daily,direction,baseline_prev_bar,7,accuracy,0.5066666666666666,0.04944132324730441
26,daily,direction,baseline_prev_bar,7,f1,0.585150283783067,0.0942883880408411
27,daily,direction,baseline_prev_bar,7,precision,0.6515406162464986,0.14741666480212276
28,daily,direction,baseline_prev_bar,7,recall,0.5386988436400201,0.08298005649198997
29,daily,direction,baseline_prev_bar,7,roc_auc,0.4565289089994972,0.059356061169459795
30,daily,direction,mvp_xgboost,1,accuracy,0.5266666666666666,0.06411794687223782
31,daily,direction,mvp_xgboost,1,f1,0.3598448192437963,0.26902949713949603
32,daily,direction,mvp_xgboost,1,precision,0.7422222222222222,0.23926327252682747
33,daily,direction,mvp_xgboost,1,recall,0.3354621848739496,0.3315720319960953
34,daily,direction,mvp_xgboost,1,roc_auc,0.5482483839689722,0.07051776719557039
35,daily,direction,mvp_xgboost,3,accuracy,0.38666666666666666,0.09888264649460884
36,daily,direction,mvp_xgboost,3,f1,0.22479815018384444,0.23001317192003018
37,daily,direction,mvp_xgboost,3,precision,0.36993464052287583,0.4215711607564356
38,daily,direction,mvp_xgboost,3,recall,0.2066917293233083,0.2310043158710309
39,daily,direction,mvp_xgboost,3,roc_auc,0.555691463507253,0.2253934636810165
40,daily,direction,mvp_xgboost,7,accuracy,0.33999999999999997,0.15165750888103102
41,daily,direction,mvp_xgboost,7,f1,0.22449773627617428,0.2020612741585744
42,daily,direction,mvp_xgboost,7,precision,0.5,0.42491829279939874
43,daily,direction,mvp_xgboost,7,recall,0.17976872800402213,0.21022010211154135
44,daily,direction,mvp_xgboost,7,roc_auc,0.5350266800737389,0.11797543224776792
45,daily,interval,mvp_xgboost_quantile,1,coverage,0.6,0.20412414523193154
46,daily,interval,mvp_xgboost_quantile,1,interval_width,0.017627308890223504,0.004675503046649202
47,daily,interval,mvp_xgboost_quantile,3,coverage,0.6533333333333333,0.08692269873603532
