market,pool_key,instrument_id,name,display,symbol,snapshot_symbol,provider,status,recommended_action,alerts,current_price,predicted_price,predicted_change_pct,policy_action,policy_position_size,policy_signed_position,policy_expected_edge_pct,policy_expected_edge_abs,policy_reason,expected_date_market,total_score,liquidity_score,data_quality_score,history_score,coverage_score,factor_support_count,price_source,news_score_30m,news_score_120m,news_score_1440m,news_count_30m,news_burst_zscore,news_risk_level,news_event_risk,news_gate_pass,news_reason_codes
us_equity,sp500,us_equity:aapl,Apple Inc.,AAPL Apple Inc.,AAPL,AAPL,yahoo,Active,Keep/Open,,279.891,282.3104235444451,0.008644163422350415,Long,0.21781569746799223,0.21781569746799223,0.006644163422350415,1.85964154444508,long_signal,2026-02-16 12:27 -0500,82.52968036529681,30.0,16.529680365296812,20.0,16.0,3,eastmoney_quote:105.AAPL,,,,,,low,False,True,nan
us_equity,sp500,us_equity:adi,Analog Devices,ADI Analog Devices,ADI,ADI,yahoo,Active,Keep/Open,,336.12,344.96855251609895,0.02632557573515104,Long,0.36310841209282224,0.36310841209282224,0.02432557573515104,8.176312516098967,long_signal,2026-02-16 12:27 -0500,76.52968036529681,24.0,16.529680365296812,20.0,16.0,3,eastmoney_quote:105.ADI,,,,,,low,False,True,nan
us_equity,sp500,us_equity:abbv,AbbVie,ABBV AbbVie,ABBV,ABBV,yahoo,Active,Keep/Open,,221.8699951171875,223.85640503694083,0.00895303539671577,Long,0.19586435837341495,0.19586435837341495,0.006953035396715769,1.5426699295189596,long_signal,2026-02-16 12:27 -0500,67.52968036529681,15.0,16.529680365296812,20.0,16.0,2,yahoo_latest,,,,,,low,False,True,nan
us_equity,sp500,us_equity:adm,Archer Daniels Midland,ADM Archer Daniels Midland,ADM,ADM,yahoo,Active,Keep/Open,,69.66000366210938,70.96797097330882,0.01877644620209651,Long,0.30697750317562245,0.30697750317562245,0.016776446202096507,1.1686473038752236,long_signal,2026-02-16 12:27 -0500,67.52968036529681,15.0,16.529680365296812,20.0,16.0,2,yahoo_latest,,,,,,low,False,True,nan
us_equity,sp500,us_equity:adbe,Adobe Inc.,ADBE Adobe Inc.,ADBE,ADBE,yahoo,Watch,Monitor/Reduce,predicted_change_non_positive,259.83,250.1166169977732,-0.03738360852182876,Short,0.31633332826981986,-0.31633332826981986,0.03538360852182876,9.193723002226765,short_signal,2026-02-16 12:27 -0500,70.52968036529681,18.0,16.529680365296812,20.0,16.0,1,eastmoney_quote:105.ADBE,,,,,,low,False,True,nan
us_equity,sp500,us_equity:a,Agilent Technologies,A Agilent Technologies,A,A,yahoo,Watch,Monitor/Reduce,predicted_change_non_positive,127.88500213623047,125.10038219397111,-0.021774405878282832,Short,0.32226554996405393,-0.32226554996405393,0.01977440587828283,2.5288499379868883,short_signal,2026-02-16 12:27 -0500,67.52968036529681,15.0,16.529680365296812,20.0,16.0,1,yahoo_latest,0.0,0.0,0.0,0.0,0.0,low,False,True,nan
us_equity,sp500,us_equity:abt,Abbott Laboratories,ABT Abbott Laboratories,ABT,ABT,yahoo,Watch,Monitor/Reduce,,112.22000122070312,113.26653181759727,0.009325704736323548,Long,0.15317157847472754,0.15317157847472754,0.007325704736323548,0.8220905944527392,long_signal,2026-02-16 12:27 -0500,67.52968036529681,15.0,16.529680365296812,20.0,16.0,1,yahoo_latest,,,,,,low,False,True,nan
us_equity,sp500,us_equity:acn,Accenture,ACN Accenture,ACN,ACN,yahoo,Watch,Monitor/Reduce,predicted_change_non_positive,230.89500427246094,224.97557280829565,-0.025636897094491573,Short,0.23404126325249824,-0.23404126325249824,0.02363689709449157,5.457641455620351,short_signal,2026-02-16 12:27 -0500,67.52968036529681,15.0,16.529680365296812,20.0,16.0,1,yahoo_latest,,,,,,low,False,True,nan
us_equity,sp500,us_equity:abnb,Airbnb,ABNB Airbnb,ABNB,ABNB,yahoo,Watch,Monitor/Reduce,predicted_change_non_positive,118.99,115.91042259709822,-0.02588097657703825,Short,0.2765472377208506,-0.2765472377208506,0.02388097657703825,2.841597402901781,short_signal,2026-02-16 12:27 -0500,64.52968036529681,12.0,16.529680365296812,20.0,16.0,1,eastmoney_quote:105.ABNB,,,,,,low,False,True,nan
us_equity,sp500,us_equity:acgl,Arch Capital Group,ACGL Arch Capital Group,ACGL,ACGL,yahoo,Watch,Monitor/Reduce,predicted_change_non_positive,97.215,96.52130611914555,-0.007135667138347568,Short,0.13410617730205646,-0.13410617730205646,0.005135667138347568,0.49926388085445883,short_signal,2026-02-16 12:27 -0500,58.52968036529681,6.0,16.529680365296812,20.0,16.0,3,eastmoney_quote:105.ACGL,,,,,,low,False,True,nan
