branch,horizon,p_up_long,p_up_short,trades,mean_ret_per_bar,total_return_proxy,win_rate
hourly,1,0.52,0.48,12,1.44871528395789e-07,0.0011421671298724005,0.0010147133434804667
hourly,1,0.55,0.45,0,0.0,0.0,0.0
hourly,1,0.58,0.42,0,0.0,0.0,0.0
hourly,2,0.52,0.48,6341,0.00011443842600224676,0.9022325506017135,0.4063926940639269
hourly,2,0.55,0.45,6098,0.00011150461487274005,0.8791023836566826,0.39244038559107053
hourly,2,0.58,0.42,1232,-0.00027027036918219916,-2.130811590632458,0.07394723490613901
hourly,4,0.52,0.48,3926,-0.00010469382796384462,-0.825406139666951,0.24771689497716895
hourly,4,0.55,0.45,1,-2.933717646467707e-06,-0.0231294299247514,0.0
hourly,4,0.58,0.42,0,0.0,0.0,0.0
daily,1,0.52,0.48,128,-0.00047995566528392236,-0.15790541387841045,0.2006079027355623
daily,1,0.55,0.45,52,0.00029543789369810734,0.09719906702667731,0.0972644376899696
daily,1,0.58,0.42,17,9.371099085750849e-05,0.030830915992120293,0.030395136778115502
daily,3,0.52,0.48,197,0.0010302242750891183,0.3389437865043199,0.3465045592705167
daily,3,0.55,0.45,61,0.0008966777623014982,0.2950069837971929,0.11550151975683891
daily,3,0.58,0.42,0,0.0,0.0,0.0
daily,7,0.52,0.48,323,0.007519079124268958,2.473777031884487,0.5987841945288754
daily,7,0.55,0.45,317,0.0068879424205552904,2.2661330563626905,0.5835866261398176
daily,7,0.58,0.42,308,0.006531599677238735,2.1488962938115437,0.5653495440729484
