symbol,name,display,market,pool_key,provider,snapshot_symbol,instrument_id,name_snap,market_snap,symbol_snap,provider_snap,timezone,horizon_label,current_price,predicted_price,predicted_change_pct,predicted_change_abs,expected_date_market,expected_date_utc,model_base_price,q10_change_pct,q50_change_pct,q90_change_pct,price_source,prediction_method,size_factor,value_factor,growth_factor,momentum_factor,reversal_factor,low_vol_factor,size_factor_source,value_factor_source,growth_factor_source,market_cap_usd,history_bars,history_missing_rate,generated_at_utc,prediction_available,risk_factors_available,behavior_factors_available,factors_available,history_ok,missing_ok,liquidity_ok,hard_filter_pass,liquidity_score,data_quality_score,history_score,coverage_score,total_score_raw,total_score,factor_support_count,signal_pass,status,recommended_action,alerts,news_score_30m,news_count_30m,news_score_120m,news_count_120m,news_score_1440m,news_count_1440m,news_burst_zscore,news_pos_neg_ratio,news_conflict_score,news_risk_level,news_event_risk,news_gate_pass,news_reason_codes,timestamp_utc,news_latest_headlines,news_latest_providers,news_last_available_at_utc,market_type,volatility_score,confidence_score,p_up,policy_action,policy_position_size,policy_signed_position,policy_expected_edge_pct,policy_expected_edge_abs,policy_cost_pct,policy_uncertainty_width,policy_p_up_used,policy_prob_strength,policy_confidence_used,policy_risk_scale,policy_allow_short,policy_reason,policy_p_up_source,news_gate_enabled,news_score_2h,news_score_24h
A,Agilent Technologies,A Agilent Technologies,us_equity,sp500,yahoo,A,us_equity:a,Agilent Technologies,us_equity,A,yahoo,America/New_York,3d,128.02499389648438,125.29791793394392,-0.021301121597751882,-2.7270759625404537,2026-02-16 12:23 -0500,2026-02-16 17:23 UTC,128.02499389648438,-0.056159742225717485,-0.021301121597751882,0.013557499030213721,yahoo_latest,baseline_momentum_quantile,4.852225509674208,0.18559162606958338,-0.07696469564985886,-0.1250342571894213,0.03726125725862506,-0.015723151564949207,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:23:32 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,low,False,True,nan,2026-02-08 01:00:00+00:00,,,,cash,0.0697172412559312,67.52968036529681,0.06521419852380589,Short,0.3197303274843575,-0.3197303274843575,0.01930112159775188,2.471025974747487,0.002,0.0697172412559312,0.06521419852380589,0.8695716029523882,0.6752968036529681,1.0,True,short_signal,model,True,0.0,0.0
AAPL,Apple Inc.,AAPL Apple Inc.,us_equity,sp500,yahoo,AAPL,us_equity:aapl,Apple Inc.,us_equity,AAPL,yahoo,America/New_York,3d,279.435,281.6687616841237,0.007993850749275166,2.2337616841236922,2026-02-16 12:23 -0500,2026-02-16 17:23 UTC,279.435,-0.028019681738138277,0.007993850749275166,0.04400738323668861,eastmoney_quote:105.AAPL,baseline_momentum_quantile,29.042599221203186,0.021496130696474634,0.08672650942908056,0.07040798981913432,-0.010633305165637541,-0.016244080215685536,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,4102424355900.0,1255.0,0.044901065449010624,2026-02-11 17:23:32 UTC,True,True,True,True,True,True,True,True,30.0,16.529680365296812,20.0,16.0,82.52968036529681,82.52968036529681,3,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.07202706497482689,82.52968036529681,0.7309074247826977,Long,0.2044355808474275,0.2044355808474275,0.0059938507492751664,1.674891684123706,0.002,0.07202706497482689,0.7309074247826977,0.4618148495653953,0.8252968036529681,1.0,True,long_signal,model,True,,
ABBV,AbbVie,ABBV AbbVie,us_equity,sp500,yahoo,ABBV,us_equity:abbv,AbbVie,us_equity,ABBV,yahoo,America/New_York,3d,221.91000366210938,223.91453910871965,0.009033100867604338,2.0045354466102765,2026-02-16 12:23 -0500,2026-02-16 17:23 UTC,221.91000366210938,-0.02222454638202464,0.009033100867604338,0.040290748117233315,yahoo_latest,baseline_momentum_quantile,5.402271910770565,0.09194697099493947,-0.06192929509502432,0.005254829726429877,-0.02210862253357182,-0.014098914885787232,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:23:32 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,2,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.06251529449925795,67.52968036529681,0.7556797126772261,Long,0.19730467048345404,0.19730467048345404,0.007033100867604338,1.5607154392860632,0.002,0.06251529449925795,0.7556797126772261,0.5113594253544522,0.6752968036529681,1.0,True,long_signal,model,True,,
ABNB,Airbnb,ABNB Airbnb,us_equity,sp500,yahoo,ABNB,us_equity:abnb,Airbnb,us_equity,ABNB,yahoo,America/New_York,3d,118.86,115.75801348344841,-0.026097816898465354,-3.101986516551591,2026-02-16 12:23 -0500,2026-02-16 17:23 UTC,118.86,-0.0743023438797509,-0.026097816898465354,0.022106710082820204,eastmoney_quote:105.ABNB,baseline_momentum_quantile,25.015972668602863,0.11764705882352941,-0.021154002304831998,-0.1509959880727193,0.045662486265436786,-0.021742887991252964,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,73164243998.16,1255.0,0.044901065449010624,2026-02-11 17:23:32 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.0964090539625711,67.52968036529681,0.03689000027478029,Short,0.28998604359927527,-0.28998604359927527,0.024097816898465352,2.8642665165515915,0.002,0.0964090539625711,0.03689000027478029,0.9262199994504394,0.6752968036529681,1.0,True,short_signal,model,True,,
ABT,Abbott Laboratories,ABT Abbott Laboratories,us_equity,sp500,yahoo,ABT,us_equity:abt,Abbott Laboratories,us_equity,ABT,yahoo,America/New_York,3d,112.25,113.31016417382978,0.00944466970004254,1.0601641738297758,2026-02-16 12:23 -0500,2026-02-16 17:23 UTC,112.25,-0.04528751043847794,0.00944466970004254,0.06417684983856302,yahoo_latest,baseline_momentum_quantile,4.720728526622364,0.19947226484957,-0.15595161016990966,-0.09694290230017344,-0.03743071317918001,-0.0246872179189921,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:23:32 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,,,,,,,,,,,low,False,True,nan,,,,,cash,0.10946436027704096,67.52968036529681,0.7650527405938322,Long,0.1547297801914187,0.1547297801914187,0.0074446697000425405,0.8356641738297752,0.002,0.10946436027704096,0.7650527405938322,0.5301054811876644,0.6752968036529681,1.0,True,long_signal,model,True,,
ACGL,Arch Capital Group,ACGL Arch Capital Group,us_equity,sp500,yahoo,ACGL,us_equity:acgl,Arch Capital Group,us_equity,ACGL,yahoo,America/New_York,3d,97.285,96.62146254284703,-0.006820552573911343,-0.6635374571529695,2026-02-16 12:23 -0500,2026-02-16 17:23 UTC,97.285,-0.04122508650659425,-0.006820552573911343,0.02758398135877156,eastmoney_quote:105.ACGL,baseline_momentum_quantile,24.276477761375894,0.6944444444444444,0.09210823599460571,0.07177489544989002,0.028412999793740457,-0.015518333537014133,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,34925315000.0,1255.0,0.044901065449010624,2026-02-11 17:23:32 UTC,True,True,True,True,True,True,True,True,7.5,16.529680365296812,20.0,16.0,60.02968036529681,60.02968036529681,3,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.06880906786536581,60.02968036529681,0.29889421394295923,Short,0.1322479900573475,-0.1322479900573475,0.004820552573911343,0.46896745715296495,0.002,0.06880906786536581,0.29889421394295923,0.40221157211408154,0.6002968036529681,1.0,True,short_signal,model,True,,
ACN,Accenture,ACN Accenture,us_equity,sp500,yahoo,ACN,us_equity:acn,Accenture,us_equity,ACN,yahoo,America/New_York,3d,230.0050048828125,223.73897283184598,-0.027243024794869397,-6.2660320509665155,2026-02-16 12:23 -0500,2026-02-16 17:23 UTC,230.0050048828125,-0.09687736891634645,-0.027243024794869397,0.042391319326607654,yahoo_latest,baseline_momentum_quantile,5.438101069046496,0.41057607461611173,-0.058668215068869434,-0.16905702663959776,0.04818948606578588,-0.03140891197138892,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:23:33 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.1392686882429541,67.52968036529681,0.032127807943627684,Short,0.23656014260821112,-0.23656014260821112,0.025243024794869395,5.806022041200892,0.002,0.1392686882429541,0.032127807943627684,0.9357443841127446,0.6752968036529681,1.0,True,short_signal,model,True,,
ADBE,Adobe Inc.,ADBE Adobe Inc.,us_equity,sp500,yahoo,ADBE,us_equity:adbe,Adobe Inc.,us_equity,ADBE,yahoo,America/New_York,3d,260.375,251.00428580487213,-0.03598930079741858,-9.370714195127874,2026-02-16 12:23 -0500,2026-02-16 17:23 UTC,260.375,-0.08535243937327569,-0.03598930079741858,0.013373837778438528,yahoo_latest,baseline_momentum_quantile,5.562122899581136,0.43897996548648616,-0.2592039607904528,-0.15989092326285725,0.06912513691232713,-0.022265485425637423,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:23:33 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.09872627715171423,67.52968036529681,0.011001484638125836,Short,0.302299462554364,-0.302299462554364,0.033989300797418576,8.849964195127862,0.002,0.09872627715171423,0.011001484638125836,0.9779970307237483,0.6752968036529681,1.0,True,short_signal,model,True,,
ADI,Analog Devices,ADI Analog Devices,us_equity,sp500,yahoo,ADI,us_equity:adi,Analog Devices,us_equity,ADI,yahoo,America/New_York,3d,335.32,343.64165436638444,0.024817053460528538,8.32165436638445,2026-02-16 12:23 -0500,2026-02-16 17:23 UTC,335.32,-0.014479253740832643,0.024817053460528538,0.06411336066188972,eastmoney_quote:105.ADI,baseline_momentum_quantile,25.82219853920039,0.2061855670103093,0.387511937207055,0.13203476249069013,-0.046436165177390354,-0.017724791828800084,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,163846940475.4,1255.0,0.044901065449010624,2026-02-11 17:23:47 UTC,True,True,True,True,True,True,True,True,22.5,16.529680365296812,20.0,16.0,75.02968036529681,75.02968036529681,3,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.07859261440272236,75.02968036529681,0.9569805892855012,Long,0.35290933938853314,0.35290933938853314,0.022817053460528536,7.6510143663844286,0.002,0.07859261440272236,0.9569805892855012,0.9139611785710025,0.7502968036529681,1.0,True,long_signal,model,True,,
ADM,Archer Daniels Midland,ADM Archer Daniels Midland,us_equity,sp500,yahoo,ADM,us_equity:adm,Archer Daniels Midland,us_equity,ADM,yahoo,America/New_York,3d,69.75,71.1006493026492,0.01936414770823225,1.3506493026492024,2026-02-16 12:23 -0500,2026-02-16 17:23 UTC,69.75,-0.014728279065672305,0.01936414770823225,0.0534565744821368,yahoo_latest,baseline_momentum_quantile,4.244917420701475,0.0,0.180003371337897,0.1005048725865254,-0.035788592117183216,-0.015377556074407342,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:23:47 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,2,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.06818485354780911,67.52968036529681,0.9183786166498303,Long,0.31077649087983705,0.31077649087983705,0.017364147708232247,1.2111493026491993,0.002,0.06818485354780911,0.9183786166498303,0.8367572332996607,0.6752968036529681,1.0,True,long_signal,model,True,,
