symbol,name,display,market,pool_key,provider,snapshot_symbol,instrument_id,name_snap,market_snap,symbol_snap,provider_snap,timezone,horizon_label,current_price,predicted_price,predicted_change_pct,predicted_change_abs,expected_date_market,expected_date_utc,model_base_price,q10_change_pct,q50_change_pct,q90_change_pct,price_source,prediction_method,size_factor,value_factor,growth_factor,momentum_factor,reversal_factor,low_vol_factor,size_factor_source,value_factor_source,growth_factor_source,market_cap_usd,history_bars,history_missing_rate,generated_at_utc,prediction_available,risk_factors_available,behavior_factors_available,factors_available,history_ok,missing_ok,liquidity_ok,hard_filter_pass,liquidity_score,data_quality_score,history_score,coverage_score,total_score_raw,total_score,factor_support_count,signal_pass,status,recommended_action,alerts,news_score_30m,news_count_30m,news_score_120m,news_count_120m,news_score_1440m,news_count_1440m,news_burst_zscore,news_pos_neg_ratio,news_conflict_score,news_risk_level,news_event_risk,news_gate_pass,news_reason_codes,timestamp_utc,news_latest_headlines,news_latest_providers,news_last_available_at_utc,market_type,volatility_score,confidence_score,p_up,policy_action,policy_position_size,policy_signed_position,policy_expected_edge_pct,policy_expected_edge_abs,policy_cost_pct,policy_uncertainty_width,policy_p_up_used,policy_prob_strength,policy_confidence_used,policy_risk_scale,policy_allow_short,policy_reason,policy_p_up_source,news_gate_enabled,news_score_2h,news_score_24h
A,Agilent Technologies,A Agilent Technologies,us_equity,sp500,yahoo,A,us_equity:a,Agilent Technologies,us_equity,A,yahoo,America/New_York,3d,128.27000427246094,125.64400649535811,-0.020472422933150325,-2.6259977771028247,2026-02-16 12:20 -0500,2026-02-16 17:20 UTC,128.27000427246094,-0.05532938230126988,-0.020472422933150325,0.01438453643496923,yahoo_latest,baseline_momentum_quantile,4.8541374506201,0.18403303586135816,-0.0751982184950829,-0.12335977411320287,0.03541879685970484,-0.01572240224555912,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:20:23 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,low,False,True,nan,2026-02-08 01:00:00+00:00,,,,cash,0.06971391873623911,67.52968036529681,0.0718206548926607,Short,0.31487894449940423,-0.31487894449940423,0.018472422933150323,2.3694577685578975,0.002,0.06971391873623911,0.0718206548926607,0.8563586902146786,0.6752968036529681,1.0,True,short_signal,model,True,0.0,0.0
AAPL,Apple Inc.,AAPL Apple Inc.,us_equity,sp500,yahoo,AAPL,us_equity:aapl,Apple Inc.,us_equity,AAPL,yahoo,America/New_York,3d,279.41,281.6254054498956,0.007928869581960374,2.21540544989557,2026-02-16 12:20 -0500,2026-02-16 17:20 UTC,279.41,-0.028067312201457466,0.007928869581960374,0.043925051365378213,eastmoney_quote:105.AAPL,baseline_momentum_quantile,29.042509393059397,0.021500752526338422,0.08657103155180224,0.07025484663118897,-0.010488713937181648,-0.01623625409566796,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,4102055859286.0,1255.0,0.044901065449010624,2026-02-11 17:20:23 UTC,True,True,True,True,True,True,True,True,30.0,16.529680365296812,20.0,16.0,82.52968036529681,82.52968036529681,3,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.07199236356683568,82.52968036529681,0.7293068552839845,Long,0.20306386139830485,0.20306386139830485,0.005928869581960374,1.6565854498955481,0.002,0.07199236356683568,0.7293068552839845,0.45861371056796907,0.8252968036529681,1.0,True,long_signal,model,True,,
ABBV,AbbVie,ABBV AbbVie,us_equity,sp500,yahoo,ABBV,us_equity:abbv,AbbVie,us_equity,ABBV,yahoo,America/New_York,3d,221.77000427246094,223.7111463223109,0.008752951311959745,1.941142049849958,2026-02-16 12:20 -0500,2026-02-16 17:20 UTC,221.77000427246094,-0.022519756433205952,0.008752951311959745,0.04002565905712544,yahoo_latest,baseline_momentum_quantile,5.401640828045217,0.09251984679022218,-0.06252110855077886,0.004620630905825207,-0.02146379093090567,-0.01410570799606243,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:20:23 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,2,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.0625454154903314,67.52968036529681,0.749156546179417,Long,0.192231128706709,0.192231128706709,0.006752951311959745,1.4976020413050333,0.002,0.0625454154903314,0.749156546179417,0.4983130923588339,0.6752968036529681,1.0,True,long_signal,model,True,,
ABNB,Airbnb,ABNB Airbnb,us_equity,sp500,yahoo,ABNB,us_equity:abnb,Airbnb,us_equity,ABNB,yahoo,America/New_York,3d,118.84,115.69559946601198,-0.02645910917189509,-3.144400533988019,2026-02-16 12:20 -0500,2026-02-16 17:20 UTC,118.84,-0.07468109972121185,-0.02645910917189509,0.021762881377421675,eastmoney_quote:105.ABNB,baseline_momentum_quantile,25.015804389258758,0.11764705882352941,-0.021977102773014012,-0.15170990589161126,0.046464977828162835,-0.021750765019146582,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,73151933003.04001,1255.0,0.044901065449010624,2026-02-11 17:20:23 UTC,True,True,True,True,True,True,True,True,12.0,16.529680365296812,20.0,16.0,64.52968036529681,64.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.09644398109863353,64.52968036529681,0.035318583221551236,Short,0.2779896839890597,-0.2779896839890597,0.024459109171895088,2.9067205339880124,0.002,0.09644398109863353,0.035318583221551236,0.9293628335568975,0.6452968036529682,1.0,True,short_signal,model,True,,
ABT,Abbott Laboratories,ABT Abbott Laboratories,us_equity,sp500,yahoo,ABT,us_equity:abt,Abbott Laboratories,us_equity,ABT,yahoo,America/New_York,3d,112.26000213623047,113.32471381138706,0.009484336851023123,1.0647116751565875,2026-02-16 12:20 -0500,2026-02-16 17:20 UTC,112.26000213623047,-0.04524965909902979,0.009484336851023123,0.06421833280107603,yahoo_latest,baseline_momentum_quantile,4.720817628543364,0.1994009331127037,-0.15587640048634444,-0.09686243459313482,-0.03752315436691189,-0.02468803694967729,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:20:23 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,,,,,,,,,,,low,False,True,nan,,,,,cash,0.10946799190010581,67.52968036529681,0.7659428256335936,Long,0.15524646064833908,0.15524646064833908,0.007484336851023123,0.8401916708841242,0.002,0.10946799190010581,0.7659428256335936,0.5318856512671872,0.6752968036529681,1.0,True,long_signal,model,True,,
ACGL,Arch Capital Group,ACGL Arch Capital Group,us_equity,sp500,yahoo,ACGL,us_equity:acgl,Arch Capital Group,us_equity,ACGL,yahoo,America/New_York,3d,97.235,96.54991803114567,-0.007045631396661034,-0.6850819688543339,2026-02-16 12:20 -0500,2026-02-16 17:20 UTC,97.235,-0.04148522883243066,-0.007045631396661034,0.02739396603910859,eastmoney_quote:105.ACGL,baseline_momentum_quantile,24.275963675409397,0.6944444444444444,0.09154690852794656,0.07122401901927344,0.02891238112929828,-0.015534149101815579,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,34907365000.0,1255.0,0.044901065449010624,2026-02-11 17:20:23 UTC,True,True,True,True,True,True,True,True,6.0,16.529680365296812,20.0,16.0,58.52968036529681,58.52968036529681,3,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.06887919487153925,58.52968036529681,0.29303192967809566,Short,0.13264102003328127,-0.13264102003328127,0.005045631396661034,0.4906119688543356,0.002,0.06887919487153925,0.29303192967809566,0.4139361406438087,0.5852968036529681,1.0,True,short_signal,model,True,,
ACN,Accenture,ACN Accenture,us_equity,sp500,yahoo,ACN,us_equity:acn,Accenture,us_equity,ACN,yahoo,America/New_York,3d,229.72500610351562,223.35060667196888,-0.027747956305089416,-6.374399431546749,2026-02-16 12:20 -0500,2026-02-16 17:20 UTC,229.72500610351562,-0.09753356973676644,-0.027747956305089416,0.04203765712658761,yahoo_latest,baseline_momentum_quantile,5.436882967955739,0.41129361543519066,-0.059814154266272346,-0.17006858296779492,0.049348181643559474,-0.031477142734642104,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:20:23 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.13957122686335405,67.52968036529681,0.0302220734239651,Short,0.23720131758302598,-0.23720131758302598,0.025747956305089414,5.914949419339719,0.002,0.13957122686335405,0.0302220734239651,0.9395558531520698,0.6752968036529681,1.0,True,short_signal,model,True,,
ADBE,Adobe Inc.,ADBE Adobe Inc.,us_equity,sp500,yahoo,ADBE,us_equity:adbe,Adobe Inc.,us_equity,ADBE,yahoo,America/New_York,3d,259.505,249.79742868878478,-0.03740803187304764,-9.707571311215219,2026-02-16 12:20 -0500,2026-02-16 17:20 UTC,259.505,-0.08692426913592063,-0.03740803187304764,0.01210820538982535,eastmoney_quote:105.ADBE,baseline_momentum_quantile,25.391662457099816,0.10905125408942203,-0.2616791943456872,-0.16269799304554078,0.07223548385653777,-0.02233454133826336,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,106526802500.0,1255.0,0.044901065449010624,2026-02-11 17:20:23 UTC,True,True,True,True,True,True,True,True,18.0,16.529680365296812,20.0,16.0,70.52968036529681,70.52968036529681,1,False,Watch,Monitor/Reduce,predicted_change_non_positive,,,,,,,,,,low,False,True,nan,,,,,cash,0.09903247452574598,70.52968036529681,0.009230177282444352,Short,0.3163407213917896,-0.3163407213917896,0.03540803187304764,9.188561311215228,0.002,0.09903247452574598,0.009230177282444352,0.9815396454351113,0.7052968036529681,1.0,True,short_signal,model,True,,
ADI,Analog Devices,ADI Analog Devices,us_equity,sp500,yahoo,ADI,us_equity:adi,Analog Devices,us_equity,ADI,yahoo,America/New_York,3d,334.65,342.7513819868589,0.0242085222975017,8.10138198685894,2026-02-16 12:20 -0500,2026-02-16 17:20 UTC,334.65,-0.01488220998812989,0.0242085222975017,0.06329925458313329,eastmoney_quote:105.ADI,baseline_momentum_quantile,25.820198448977383,0.2066115702479339,0.38569126254847097,0.13054932157343813,-0.04506304559789376,-0.01763206625619453,market_cap_log,book_to_price_1_over_pb,proxy_return_90d,163519559316.75,1255.0,0.044901065449010624,2026-02-11 17:20:35 UTC,True,True,True,True,True,True,True,True,24.0,16.529680365296812,20.0,16.0,76.52968036529681,76.52968036529681,3,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.07818146457126318,76.52968036529681,0.9537378754150576,Long,0.3583202594606247,0.3583202594606247,0.022208522297501698,7.432081986858943,0.002,0.07818146457126318,0.9537378754150576,0.9074757508301152,0.7652968036529681,1.0,True,long_signal,model,True,,
ADM,Archer Daniels Midland,ADM Archer Daniels Midland,us_equity,sp500,yahoo,ADM,us_equity:adm,Archer Daniels Midland,us_equity,ADM,yahoo,America/New_York,3d,69.80999755859375,71.18916905383608,0.019756074251180866,1.379171495242332,2026-02-16 12:20 -0500,2026-02-16 17:20 UTC,69.80999755859375,-0.014411680761690165,0.019756074251180866,0.0539238292640519,yahoo_latest,baseline_momentum_quantile,4.245777231010153,0.0,0.1810183866986521,0.10145150492452859,-0.03667955680171775,-0.015411533245536152,proxy_log_price,proxy_drawdown_to_1y_high,proxy_return_90d,,1255.0,0.044901065449010624,2026-02-11 17:20:35 UTC,True,True,True,True,True,True,True,True,15.0,16.529680365296812,20.0,16.0,67.52968036529681,67.52968036529681,2,True,Active,Keep/Open,,,,,,,,,,,low,False,True,nan,,,,,cash,0.06833551002574206,67.52968036529681,0.921976471916232,Long,0.31313766272038235,0.31313766272038235,0.017756074251180864,1.2395515001251456,0.002,0.06833551002574206,0.921976471916232,0.843952943832464,0.6752968036529681,1.0,True,long_signal,model,True,,
