index,branch,task,model,horizon,metric,mean,std
0,daily,direction,baseline_logistic,1,accuracy,0.5466666666666666,0.060553007081949835
1,daily,direction,baseline_logistic,1,f1,0.3942096804688977,0.3295356363384371
2,daily,direction,baseline_logistic,1,precision,0.573968253968254,0.3645710747318226
3,daily,direction,baseline_logistic,1,recall,0.447156862745098,0.4607102764361977
4,daily,direction,baseline_logistic,1,roc_auc,0.6023358471593766,0.0770856466291003
5,daily,direction,baseline_logistic,3,accuracy,0.49333333333333335,0.09249624617007737
6,daily,direction,baseline_logistic,3,f1,0.2559468438538206,0.3505606532441461
7,daily,direction,baseline_logistic,3,precision,0.2375,0.33189795118379384
8,daily,direction,baseline_logistic,3,recall,0.3024561403508772,0.43269289985306714
9,daily,direction,baseline_logistic,3,roc_auc,0.6078506113769271,0.08942827172312187
10,daily,direction,baseline_logistic,7,accuracy,0.49333333333333335,0.19350567031599986
11,daily,direction,baseline_logistic,7,f1,0.2779220779220779,0.39043203405508875
12,daily,direction,baseline_logistic,7,precision,0.21846153846153848,0.31648962143073944
13,daily,direction,baseline_logistic,7,recall,0.4,0.5477225575051661
14,daily,direction,baseline_logistic,7,roc_auc,0.7311104782157413,0.09091931728948177
15,daily,direction,baseline_prev_bar,1,accuracy,0.47333333333333333,0.0547722557505166
16,daily,direction,baseline_prev_bar,1,f1,0.5002701414269823,0.07177386472288333
17,daily,direction,baseline_prev_bar,1,precision,0.5034920634920634,0.06528992867081615
18,daily,direction,baseline_prev_bar,1,recall,0.49764705882352944,0.0799535575617621
19,daily,direction,baseline_prev_bar,1,roc_auc,0.4696660202542556,0.05372945130534739
20,daily,direction,baseline_prev_bar,3,accuracy,0.45999999999999996,0.08944271909999159
21,daily,direction,baseline_prev_bar,3,f1,0.4853630451353411,0.1362313784648361
22,daily,direction,baseline_prev_bar,3,precision,0.5024206349206348,0.17532197821249812
23,daily,direction,baseline_prev_bar,3,recall,0.4735672514619883,0.10440717592089258
24,daily,direction,baseline_prev_bar,3,roc_auc,0.4531977671451356,0.09431787986466869
25,daily,direction,baseline_prev_bar,7,accuracy,0.4333333333333333,0.07817359599705717
26,daily,direction,baseline_prev_bar,7,f1,0.4522144522144522,0.11098282138628919
27,daily,direction,baseline_prev_bar,7,precision,0.4593650793650793,0.15104474708199306
28,daily,direction,baseline_prev_bar,7,recall,0.45669172932330826,0.08610917551633122
29,daily,direction,baseline_prev_bar,7,roc_auc,0.4154670767828662,0.08240426062850886
30,daily,direction,mvp_xgboost,1,accuracy,0.5133333333333333,0.06912147117775906
31,daily,direction,mvp_xgboost,1,f1,0.4484995760635361,0.06545027582199567
32,daily,direction,mvp_xgboost,1,precision,0.6164102564102565,0.22173631952786765
33,daily,direction,mvp_xgboost,1,recall,0.37549019607843137,0.08904263679192627
34,daily,direction,mvp_xgboost,1,roc_auc,0.5754934999640883,0.07368603140293152
35,daily,direction,mvp_xgboost,3,accuracy,0.52,0.09006170724070857
36,daily,direction,mvp_xgboost,3,f1,0.36184331797235025,0.23543836479372826
37,daily,direction,mvp_xgboost,3,precision,0.5125,0.2900251425882476
38,daily,direction,mvp_xgboost,3,recall,0.3053801169590643,0.2338517449664425
