branch,horizon,p_up_long,p_up_short,trades,mean_ret_per_bar,total_return_proxy,win_rate
hourly,1,0.52,0.48,1203,-0.0003459792572176021,-2.7277004639035747,0.06976154236428209
hourly,1,0.55,0.45,0,0.0,0.0,0.0
hourly,1,0.58,0.42,0,0.0,0.0,0.0
hourly,2,0.52,0.48,2331,-0.0004252871117746249,-3.352963589231143,0.1397767630644343
hourly,2,0.55,0.45,0,0.0,0.0,0.0
hourly,2,0.58,0.42,0,0.0,0.0,0.0
hourly,4,0.52,0.48,2422,-0.0003905076927705654,-3.0787626498031377,0.14751395230847286
hourly,4,0.55,0.45,0,0.0,0.0,0.0
hourly,4,0.58,0.42,0,0.0,0.0,0.0
daily,1,0.52,0.48,328,-0.00038157410978218776,-0.12553788211833977,0.48328267477203646
daily,1,0.55,0.45,323,-0.00034332681786041787,-0.11295452307607748,0.47720364741641336
daily,1,0.58,0.42,309,-0.00036897923693843135,-0.12139416895274392,0.45896656534954405
daily,3,0.52,0.48,289,0.0004991772393441005,0.16422931174420904,0.43465045592705165
daily,3,0.55,0.45,249,0.0007932534284191021,0.2609803779498846,0.3829787234042553
daily,3,0.58,0.42,219,0.0006827491161206043,0.22462445920367882,0.3373860182370821
daily,7,0.52,0.48,303,-0.0008961867134134583,-0.29484542871302777,0.46808510638297873
daily,7,0.55,0.45,272,-3.861963691711432e-05,-0.012705860545730613,0.4376899696048632
daily,7,0.58,0.42,253,-0.00014620483648426153,-0.04810139120332205,0.40425531914893614
