branch,horizon,p_up_long,p_up_short,trades,mean_ret_per_bar,total_return_proxy,win_rate
hourly,1,0.52,0.48,434,-9.418597291786097e-05,-0.742562210484416,0.026128868594622018
hourly,1,0.55,0.45,0,0.0,0.0,0.0
hourly,1,0.58,0.42,0,0.0,0.0,0.0
hourly,2,0.52,0.48,1278,-0.00034215490796486085,-2.697549294394963,0.07331303906646372
hourly,2,0.55,0.45,9,-5.561484171179439e-06,-0.0438467412055787,0.0005073566717402334
hourly,2,0.58,0.42,0,0.0,0.0,0.0
hourly,4,0.52,0.48,3819,-0.00026410226416682107,-2.082182250691217,0.23845763571790968
hourly,4,0.55,0.45,318,-0.00018736820519716377,-1.4772109297744391,0.018138001014713342
hourly,4,0.58,0.42,0,0.0,0.0,0.0
daily,1,0.52,0.48,261,-0.0004688769258277209,-0.15426050859732018,0.3708206686930091
daily,1,0.55,0.45,139,-0.0009561699740941813,-0.31457992147698566,0.16717325227963525
daily,1,0.58,0.42,51,-0.0003022039104776033,-0.0994250865471315,0.06382978723404255
daily,3,0.52,0.48,254,-0.0024821403893031573,-0.8166241880807388,0.3343465045592705
daily,3,0.55,0.45,142,-0.0012302865065474322,-0.4047642606541052,0.19756838905775076
daily,3,0.58,0.42,19,-0.000731949711457097,-0.2408114550693849,0.0121580547112462
daily,7,0.52,0.48,178,-0.000841879282342867,-0.27697828389080326,0.270516717325228
daily,7,0.55,0.45,85,-0.0020920788437905876,-0.6882939396071033,0.10638297872340426
daily,7,0.58,0.42,51,-0.002256162183296501,-0.7422773583045489,0.057750759878419454
